категория,тип_запроса,gap_label,лидер,упоминаний
baby care,брендовый,Не лидирует,Huggies,3
baby care,брендовый,Не лидирует,Lovular,2
baby care,брендовый,Не лидирует,Momi,2
baby care,брендовый,Не лидирует,Joonies,1
baby care,брендовый,Не лидирует,MOMI,1
baby care,брендовый,Не лидирует,Merries,1
baby care,брендовый,Не лидирует,Offspring,1
baby care,брендовый,Не лидирует,Senso Baby Simple,1
baby care,брендовый,Не лидирует,YokoSun,1
baby care,брендовый,Отсутствует,Huggies,6
baby care,брендовый,Отсутствует,Merries,4
baby care,брендовый,Отсутствует,YokoSun,3
baby care,брендовый,Отсутствует,Joonies,2
baby care,брендовый,Отсутствует,Seni,2
baby care,брендовый,Отсутствует,KIOSHI,1
baby care,брендовый,Отсутствует,Miyoumi,1
baby care,брендовый,Отсутствует,Offspring,1
baby care,брендовый,Отсутствует,Senso Baby Simple,1
baby care,категорийный,Не лидирует,Huggies,9
baby care,категорийный,Не лидирует,Lovular,2
baby care,категорийный,Не лидирует,Helen Harper,1
baby care,категорийный,Не лидирует,Joonies,1
baby care,категорийный,Не лидирует,Merries,1
baby care,категорийный,Не лидирует,Momi,1
baby care,категорийный,Не лидирует,YokoSun (и другие конкуренты),1
baby care,категорийный,Отсутствует,Huggies,8
baby care,категорийный,Отсутствует,Merries,6
baby care,категорийный,Отсутствует,Seni,4
baby care,категорийный,Отсутствует,Helen Harper,3
baby care,категорийный,Отсутствует,Joonies,3
baby care,категорийный,Отсутствует,Tena,3
baby care,категорийный,Отсутствует,YokoSun,3
baby care,категорийный,Отсутствует,Lovular,2
baby care,категорийный,Отсутствует,MoliCare,2
baby care,категорийный,Отсутствует,TerezaMed,2
baby care,категорийный,Отсутствует,AMT LIFE,1
baby care,категорийный,Отсутствует,Abena,1
baby care,категорийный,Отсутствует,Alloves,1
baby care,категорийный,Отсутствует,Ama Mama,1
baby care,категорийный,Отсутствует,Baby Go,1
baby care,категорийный,Отсутствует,Bella Baby happy,1
baby care,категорийный,Отсутствует,Dailee,1
baby care,категорийный,Отсутствует,Goo.N,1
baby care,категорийный,Отсутствует,Hartmann,1
baby care,категорийный,Отсутствует,Hiya,1
baby care,категорийный,Отсутствует,KIDDO,1
baby care,категорийный,Отсутствует,LOVULAR,1
baby care,категорийный,Отсутствует,Little Art,1
baby care,категорийный,Отсутствует,MANU,1
baby care,категорийный,Отсутствует,Momi,1
baby care,категорийный,Отсутствует,Moony Organic,1
baby care,категорийный,Отсутствует,Senso Med,1
baby care,категорийный,Отсутствует,Super Seni,1
baby care,категорийный,Отсутствует,Tereza Med,1
baby care,категорийный,Отсутствует,TokiBaby Light,1
baby care,категорийный,Отсутствует,Unisoft,1
baby care,категорийный,Отсутствует,Ама Мама,1
baby care,категорийный,Отсутствует,Красная цена,1
baby care,категорийный,Отсутствует,Лента,1
baby care,категорийный,Отсутствует,Мапсики,1
baby care,категорийный,Отсутствует,ЭлараHealth,1
baby care,категорийный,Отсутствует,не указаны,1
baby care,консультационный,Конкурент (консульт.),Huggies,13
baby care,консультационный,Конкурент (консульт.),Merries,10
baby care,консультационный,Конкурент (консульт.),Joonies,7
baby care,консультационный,Конкурент (консульт.),YokoSun,4
baby care,консультационный,Конкурент (консульт.),Momi,3
baby care,консультационный,Конкурент (консульт.),Lovular,2
baby care,консультационный,Конкурент (консульт.),Kiddy,1
baby care,консультационный,Конкурент (консульт.),Manu,1
baby care,консультационный,Конкурент (консульт.),Mepsi,1
baby care,консультационный,Конкурент (консульт.),Mustela,1
baby care,консультационный,Конкурент (консульт.),Seni,1
baby care,консультационный,Не лидирует,Huggies,7
baby care,консультационный,Не лидирует,Joonies,2
baby care,консультационный,Не лидирует,Lovular,2
baby care,консультационный,Не лидирует,Merries,2
baby care,консультационный,Не лидирует,Momi,2
baby care,консультационный,Не лидирует,Kiddy,1
baby care,консультационный,Не лидирует,Mepsi,1
baby care,консультационный,Не лидирует,Moony,1
baby care,консультационный,Не лидирует,TokiBaby,1
baby care,консультационный,Отсутствует,Huggies,12
baby care,консультационный,Отсутствует,YokoSun,11
baby care,консультационный,Отсутствует,Merries,10
baby care,консультационный,Отсутствует,Joonies,7
baby care,консультационный,Отсутствует,JOONIES,2
baby care,консультационный,Отсутствует,Momi,2
baby care,консультационный,Отсутствует,HanaMaru,1
baby care,консультационный,Отсутствует,KIOSHI,1
baby care,консультационный,Отсутствует,Lovular,1
baby care,консультационный,Отсутствует,Manu,1
baby care,консультационный,Отсутствует,Mustela,1
baby care,консультационный,Отсутствует,Seni,1
baby care,консультационный,Отсутствует,Tena,1
baby care,консультационный,Отсутствует,TerezaMed,1
baby care,консультационный,Отсутствует,бренды не упомянуты,1
baby care,сравнительный,Конкурент (сравнит.),Huggies,8
baby care,сравнительный,Конкурент (сравнит.),Joonies,6
baby care,сравнительный,Конкурент (сравнит.),Lovular,4
baby care,сравнительный,Конкурент (сравнит.),Momi,3
baby care,сравнительный,Конкурент (сравнит.),Merries,2
baby care,сравнительный,Конкурент (сравнит.),YokoSun,2
baby care,сравнительный,Конкурент (сравнит.),Sanosan Baby,1
baby care,сравнительный,Не лидирует,Huggies,4
baby care,сравнительный,Не лидирует,Lovular,3
baby care,сравнительный,Не лидирует,Momi,2
baby care,сравнительный,Не лидирует,Joonies,1
baby care,сравнительный,Не лидирует,Kiddy,1
baby care,сравнительный,Не лидирует,Mepsi,1
baby care,сравнительный,Не лидирует,Merries,1
baby care,сравнительный,Отсутствует,Huggies,7
baby care,сравнительный,Отсутствует,Merries,6
baby care,сравнительный,Отсутствует,Joonies,5
baby care,сравнительный,Отсутствует,YokoSun,5
baby care,сравнительный,Отсутствует,Lovular,3
baby care,сравнительный,Отсутствует,Momi,3
baby care,сравнительный,Отсутствует,Natura Siberica,2
baby care,сравнительный,Отсутствует,Weleda,2
baby care,сравнительный,Отсутствует,BRAND FOR MY SON,1
baby care,сравнительный,Отсутствует,JOONIES,1
baby care,сравнительный,Отсутствует,Junion Care,1
baby care,сравнительный,Отсутствует,Mepsi,1
baby care,сравнительный,Отсутствует,Moony,1
baby care,сравнительный,Отсутствует,SYNERGETIC,1
baby care,сравнительный,Отсутствует,Sanosan,1
baby care,сравнительный,Отсутствует,Sanosan Baby,1
baby care,сравнительный,Отсутствует,Topicrem,1
baby care,сравнительный,Отсутствует,Бепантен,1
baby care,сравнительный,Отсутствует,Ла-Кри,1
hair care,категорийный,Конкурент (категор.),Vichy,1
hair care,категорийный,Не лидирует,ESTEL,3
hair care,категорийный,Не лидирует,Clear,2
hair care,категорийный,Не лидирует,Concept,1
hair care,категорийный,Не лидирует,Dove,1
hair care,категорийный,Не лидирует,Likato Professional,1
hair care,категорийный,Не лидирует,Nivea,1
hair care,категорийный,Не лидирует,Ollin,1
hair care,категорийный,Не лидирует,Ollin Professional,1
hair care,категорийный,Не лидирует,The LAB,1
hair care,категорийный,Отсутствует,L'Oreal,5
hair care,категорийный,Отсутствует,ESTEL,4
hair care,категорийный,Отсутствует,Vichy,4
hair care,категорийный,Отсутствует,Dove,3
hair care,категорийный,Отсутствует,Ollin,3
hair care,категорийный,Отсутствует,ARAVIA,2
hair care,категорийный,Отсутствует,ARAVIA Professional,2
hair care,категорийный,Отсутствует,Alerana,2
hair care,категорийный,Отсутствует,BYPHASSE,2
hair care,категорийный,Отсутствует,Estel,2
hair care,категорийный,Отсутствует,Kapous,2
hair care,категорийный,Отсутствует,Synergetic,2
hair care,категорийный,Отсутствует,VOIS,2
hair care,категорийный,Отсутствует,Wella,2
hair care,категорийный,Отсутствует,AMBREE Professional,1
hair care,категорийный,Отсутствует,BAZE,1
hair care,категорийный,Отсутствует,Biofollica,1
hair care,категорийный,Отсутствует,Blonde,1
hair care,категорийный,Отсутствует,Booby Blue,1
hair care,категорийный,Отсутствует,CHI,1
hair care,категорийный,Отсутствует,COLLISTAR,1
hair care,категорийный,Отсутствует,CONSTANT DELIGHT,1
hair care,категорийный,Отсутствует,COSLYS,1
hair care,категорийный,Отсутствует,Chandi,1
hair care,категорийный,Отсутствует,Clear,1
hair care,категорийный,Отсутствует,Concept,1
hair care,категорийный,Отсутствует,Crystal Chamomile & Green Tea,1
hair care,категорийный,Отсутствует,Cutrin,1
hair care,категорийный,Отсутствует,DEXCLUSIVE Men,1
hair care,категорийный,Отсутствует,Dercos (Vichy),1
hair care,категорийный,Отсутствует,EO Laboratorie,1
hair care,категорийный,Отсутствует,Ecolatier,1
hair care,категорийный,Отсутствует,Garnier Fructis,1
hair care,категорийный,Отсутствует,HAIR LOGIC,1
hair care,категорийный,Отсутствует,HAPPY HAIR Professional,1
hair care,категорийный,Отсутствует,Hair Company Professional,1
hair care,категорийный,Отсутствует,IRIDAPRO CLEAN,1
hair care,категорийный,Отсутствует,Insight Professional,1
hair care,категорийный,Отсутствует,JUST HAIR,1
hair care,категорийный,Отсутствует,KANS,1
hair care,категорийный,Отсутствует,KLEONA,1
hair care,категорийный,Отсутствует,Kerastase,1
hair care,категорийный,Отсутствует,Kleona,1
hair care,категорийный,Отсутствует,L'Occitane,1
hair care,категорийный,Отсутствует,L'Occitane Homme,1
hair care,категорийный,Отсутствует,LADOR,1
hair care,категорийный,Отсутствует,LIBREDERM,1
hair care,категорийный,Отсутствует,La Roche-Posay,1
hair care,категорийный,Отсутствует,Lador,1
hair care,категорийный,Отсутствует,Lamonnet Premium,1
hair care,категорийный,Отсутствует,Likato Professional,1
hair care,категорийный,Отсутствует,Lovature/Лавейча,1
hair care,категорийный,Отсутствует,L’Oréal,1
hair care,категорийный,Отсутствует,MASIL,1
hair care,категорийный,Отсутствует,Masil,1
hair care,категорийный,Отсутствует,MinoMax,1
hair care,категорийный,Отсутствует,Mixit,1
hair care,категорийный,Отсутствует,NATURE.med,1
hair care,категорийный,Отсутствует,NIVEA,1
hair care,категорийный,Отсутствует,Natura Siberica,1
hair care,категорийный,Отсутствует,Nollam Lab,1
hair care,категорийный,Отсутствует,OIL PREMIUM,1
hair care,категорийный,Отсутствует,Ollin Professional,1
hair care,категорийный,Отсутствует,PHYTORELAX,1
hair care,категорийный,Отсутствует,PUNCHLINE COSMETICS,1
hair care,категорийный,Отсутствует,ROYAL SAMPLES,1
hair care,категорийный,Отсутствует,Repute,1
hair care,категорийный,Отсутствует,Retrieve,1
hair care,категорийный,Отсутствует,Savonry,1
hair care,категорийный,Отсутствует,Sebu-Balance,1
hair care,категорийный,Отсутствует,Sim Sensitive,1
hair care,категорийный,Отсутствует,Sueno,1
hair care,категорийный,Отсутствует,Svoboda Natural,1
hair care,категорийный,Отсутствует,Svoboda natural,1
hair care,категорийный,Отсутствует,URAL LAB,1
hair care,категорийный,Отсутствует,URIAGE,1
hair care,категорийный,Отсутствует,Yves Rocher,1
hair care,категорийный,Отсутствует,ZEITUN,1
hair care,категорийный,Отсутствует,Zeitun,1
hair care,категорийный,Отсутствует,Алерана,1
hair care,категорийный,Отсутствует,Аптечка Агафьи,1
hair care,категорийный,Отсутствует,Лошадиная Сила,1
hair care,категорийный,Отсутствует,МАСТ ХЭВ,1
hair care,категорийный,Отсутствует,Мирролла,1
hair care,категорийный,Отсутствует,ОрганикФарм,1
hair care,консультационный,Конкурент (консульт.),L'Oreal,3
hair care,консультационный,Конкурент (консульт.),Dove,1
hair care,консультационный,Конкурент (консульт.),Grass,1
hair care,консультационный,Конкурент (консульт.),Nivea,1
hair care,консультационный,Конкурент (консульт.),Shauma,1
hair care,консультационный,Конкурент (консульт.),Wella,1
hair care,консультационный,Конкурент (консульт.),Алиса,1
hair care,консультационный,Конкурент (консульт.),Чистая Линия,1
hair care,консультационный,Не лидирует,SYNERGETIC,2
hair care,консультационный,Не лидирует,Clear,1
hair care,консультационный,Не лидирует,DREAM NATURE,1
hair care,консультационный,Не лидирует,Exxe,1
hair care,консультационный,Не лидирует,Lion,1
hair care,консультационный,Не лидирует,NIVEA,1
hair care,консультационный,Не лидирует,Nivea,1
hair care,консультационный,Не лидирует,Белита-Витэкс,1
hair care,консультационный,Не лидирует,Чистая линия,1
hair care,консультационный,Отсутствует,L'Oreal,3
hair care,консультационный,Отсутствует,Ollin,2
hair care,консультационный,Отсутствует,Vichy,2
hair care,консультационный,Отсутствует,отсутствует,2
hair care,консультационный,Отсутствует,AQUA FORCE,1
hair care,консультационный,Отсутствует,AXE ANTI HANGOVER,1
hair care,консультационный,Отсутствует,AxiOne,1
hair care,консультационный,Отсутствует,Deonica for men,1
hair care,консультационный,Отсутствует,Dove,1
hair care,консультационный,Отсутствует,ESTEL,1
hair care,консультационный,Отсутствует,Ecolatier,1
hair care,консультационный,Отсутствует,Grass,1
hair care,консультационный,Отсутствует,Ichthyonella,1
hair care,консультационный,Отсутствует,Kerasys,1
hair care,консультационный,Отсутствует,L'Occitane,1
hair care,консультационный,Отсутствует,MIXIT,1
hair care,консультационный,Отсутствует,Nivea,1
hair care,консультационный,Отсутствует,Palmolive,1
hair care,консультационный,Отсутствует,Physiogel,1
hair care,консультационный,Отсутствует,Shauma,1
hair care,консультационный,Отсутствует,Touch For You,1
hair care,консультационный,Отсутствует,URAL LAB,1
hair care,консультационный,Отсутствует,VOLCANO ENERGY,1
hair care,консультационный,Отсутствует,Wella,1
hair care,консультационный,Отсутствует,YESBABY,1
hair care,консультационный,Отсутствует,Алиса,1
hair care,консультационный,Отсутствует,Рексона,1
hair care,консультационный,Отсутствует,Ушастый Нянь,1
hair care,консультационный,Отсутствует,Чистая Линия,1
hair care,консультационный,Отсутствует,бренды не указаны,1
hair care,сравнительный,Конкурент (сравнит.),ARAVIA,1
hair care,сравнительный,Конкурент (сравнит.),Dove,1
hair care,сравнительный,Конкурент (сравнит.),L'Oreal,1
hair care,сравнительный,Конкурент (сравнит.),Vichy,1
hair care,сравнительный,Конкурент (сравнит.),нет явного лидера,1
hair care,сравнительный,Отсутствует,ARAVIA,1
hair care,сравнительный,Отсутствует,BYPHASSE,1
hair care,сравнительный,Отсутствует,DSD de Luxe,1
hair care,сравнительный,Отсутствует,Dove,1
hair care,сравнительный,Отсутствует,Kaaral,1
hair care,сравнительный,Отсутствует,L'Oreal,1
hair care,сравнительный,Отсутствует,Librederm,1
hair care,сравнительный,Отсутствует,MinoMax,1
hair care,сравнительный,Отсутствует,Sim Sensitive,1
hair care,сравнительный,Отсутствует,Vichy,1
oral care,категорийный,Не лидирует,B.Well,1
oral care,категорийный,Не лидирует,Colgate,1
oral care,категорийный,Не лидирует,Elmex,1
oral care,категорийный,Не лидирует,PresiDENT,1
oral care,категорийный,Не лидирует,R.O.C.S.,1
oral care,категорийный,Не лидирует,Splat,1
oral care,категорийный,Отсутствует,R.O.C.S.,6
oral care,категорийный,Отсутствует,Sensodyne,4
oral care,категорийный,Отсутствует,Splat,4
oral care,категорийный,Отсутствует,Colgate,3
oral care,категорийный,Отсутствует,Elmex,3
oral care,категорийный,Отсутствует,Lacalut,3
oral care,категорийный,Отсутствует,Philips,2
oral care,категорийный,Отсутствует,Xiaomi,2
oral care,категорийный,Отсутствует,Асепта,2
oral care,категорийный,Отсутствует,B.Well,1
oral care,категорийный,Отсутствует,Bopakids,1
oral care,категорийный,Отсутствует,Grass,1
oral care,категорийный,Отсутствует,Oclean,1
oral care,категорийный,Отсутствует,Perioe,1
oral care,категорийный,Отсутствует,PresiDENT,1
oral care,категорийный,Отсутствует,ROCS,1
oral care,категорийный,Отсутствует,SPLAT,1
oral care,категорийный,Отсутствует,SYNERGETIC,1
oral care,категорийный,Отсутствует,Waterpik,1
oral care,категорийный,Отсутствует,Лесной бальзам,1
oral care,консультационный,Конкурент (консульт.),Elmex,2
oral care,консультационный,Конкурент (консульт.),PresiDENT,2
oral care,консультационный,Конкурент (консульт.),R.O.C.S.,2
oral care,консультационный,Конкурент (консульт.),Sensodyne,2
oral care,консультационный,Конкурент (консульт.),Colgate,1
oral care,консультационный,Конкурент (консульт.),LACALUT,1
oral care,консультационный,Конкурент (консульт.),Lacalut,1
oral care,консультационный,Конкурент (консульт.),Splat,1
oral care,консультационный,Не лидирует,R.O.C.S.,1
oral care,консультационный,Не лидирует,Sensodyne,1
oral care,консультационный,Не лидирует,Splat,1
oral care,консультационный,Отсутствует,Elmex,3
oral care,консультационный,Отсутствует,LACALUT,2
oral care,консультационный,Отсутствует,Lacalut,2
oral care,консультационный,Отсутствует,PresiDENT,2
oral care,консультационный,Отсутствует,R.O.C.S.,2
oral care,консультационный,Отсутствует,Sensodyne,2
oral care,консультационный,Отсутствует,Colgate,1
oral care,консультационный,Отсутствует,PresiDent,1
oral care,консультационный,Отсутствует,SPLAT,1
oral care,консультационный,Отсутствует,Splat,1
oral care,сравнительный,Конкурент (сравнит.),Xiaomi,2
oral care,сравнительный,Конкурент (сравнит.),Acleon,1
oral care,сравнительный,Конкурент (сравнит.),Philips,1
oral care,сравнительный,Конкурент (сравнит.),Revyline,1
oral care,сравнительный,Не лидирует,Acleon,1
oral care,сравнительный,Не лидирует,B.Well,1
oral care,сравнительный,Не лидирует,CS Medica,1
oral care,сравнительный,Не лидирует,GEZON,1
oral care,сравнительный,Не лидирует,Philips,1
oral care,сравнительный,Не лидирует,Polaris,1
oral care,сравнительный,Не лидирует,Revyline,1
oral care,сравнительный,Не лидирует,Xiaomi,1
oral care,сравнительный,Отсутствует,Philips,1
oral care,сравнительный,Отсутствует,Revyline,1
oral care,сравнительный,Отсутствует,Splat,1
oral care,сравнительный,Отсутствует,Xiaomi,1
