Тип пробела,Компания,Частота,Процент
P&G не лидирует в рекомендации,Huggies,4,12.9
P&G не лидирует в рекомендации,Ollin,1,3.23
P&G не лидирует в рекомендации,Professional,1,3.23
P&G не лидирует в рекомендации,ESTEL,1,3.23
P&G не лидирует в рекомендации,PROFESSIONAL,1,3.23
P&G не лидирует в рекомендации,Lovular,1,3.23
P&G не лидирует в рекомендации,Joonies,1,3.23
P&G не лидирует в рекомендации,Supergreen,1,3.23
P&G не лидирует в рекомендации,HIYA,1,3.23
P&G не лидирует в рекомендации,Philips,1,3.23
P&G не лидирует в рекомендации,Curaprox,1,3.23
P&G не лидирует в рекомендации,Seni,1,3.23
P&G не лидирует в рекомендации,Tena,1,3.23
P&G не лидирует в рекомендации,TerezaMed,1,3.23
P&G не лидирует в рекомендации,Hartmann,1,3.23
P&G не лидирует в рекомендации,MoliCare,1,3.23
P&G не лидирует в рекомендации,Abena,1,3.23
P&G не лидирует в рекомендации,Abri-Flex,1,3.23
P&G не лидирует в рекомендации,бренды,1,3.23
P&G не лидирует в рекомендации,подгузников,1,3.23
P&G не лидирует в рекомендации,Moony,1,3.23
P&G не лидирует в рекомендации,TokiBaby,1,3.23
P&G не лидирует в рекомендации,(Global,1,3.23
P&G не лидирует в рекомендации,White,1,3.23
P&G не лидирует в рекомендации,Desert,1,3.23
P&G не лидирует в рекомендации,Essence,1,3.23
P&G не лидирует в рекомендации,Marvis,1,3.23
P&G не лидирует в рекомендации,др.),1,3.23
P&G отсутствует в ответе,Huggies,3,7.14
P&G отсутствует в ответе,Philips,2,4.76
P&G отсутствует в ответе,Seni,1,2.38
P&G отсутствует в ответе,Tena,1,2.38
P&G отсутствует в ответе,TerezaMed,1,2.38
P&G отсутствует в ответе,Hartmann,1,2.38
P&G отсутствует в ответе,MoliCare,1,2.38
P&G отсутствует в ответе,Abena,1,2.38
P&G отсутствует в ответе,Abri-Flex,1,2.38
P&G отсутствует в ответе,Оптио,1,2.38
P&G отсутствует в ответе,M,1,2.38
P&G отсутствует в ответе,Clear,1,2.38
P&G отсутствует в ответе,ROCS,1,2.38
P&G отсутствует в ответе,SPLAT,1,2.38
P&G отсутствует в ответе,Bopakids,1,2.38
P&G отсутствует в ответе,Helen,1,2.38
P&G отсутствует в ответе,Harper,1,2.38
P&G отсутствует в ответе,Senso,1,2.38
P&G отсутствует в ответе,Baby,1,2.38
P&G отсутствует в ответе,YOSHIOTO,1,2.38
P&G отсутствует в ответе,Tanoshi,1,2.38
P&G отсутствует в ответе,Bradex,1,2.38
P&G отсутствует в ответе,Longa,1,2.38
P&G отсутствует в ответе,Vita,1,2.38
P&G отсутствует в ответе,CS,1,2.38
P&G отсутствует в ответе,Medica,1,2.38
P&G отсутствует в ответе,Redmond,1,2.38
P&G отсутствует в ответе,Vichy,1,2.38
P&G отсутствует в ответе,(Cutrin,1,2.38
P&G отсутствует в ответе,CHI,1,2.38
P&G отсутствует в ответе,ARAVIA,1,2.38
P&G отсутствует в ответе,Dove,1,2.38
P&G отсутствует в ответе,Alerana),1,2.38
P&G отсутствует в ответе,Красная,1,2.38
P&G отсутствует в ответе,цена,1,2.38
P&G отсутствует в ответе,L'Occitane,1,2.38
P&G отсутствует в ответе,Nivea,1,2.38
P&G отсутствует в ответе,Synergetic,1,2.38
P&G отсутствует в ответе,Ecolatier,1,2.38
Конкурент доминирует в comparison-сценарии,Huggies,6,9.52
Конкурент доминирует в comparison-сценарии,Merries,4,6.35
Конкурент доминирует в comparison-сценарии,YokoSun,4,6.35
Конкурент доминирует в comparison-сценарии,Lovular,3,4.76
Конкурент доминирует в comparison-сценарии,Momi,3,4.76
Конкурент доминирует в comparison-сценарии,Kiddy,2,3.17
Конкурент доминирует в comparison-сценарии,Joonies,2,3.17
Конкурент доминирует в comparison-сценарии,BYPHASSE,2,3.17
Конкурент доминирует в comparison-сценарии,NIVEA,2,3.17
Конкурент доминирует в comparison-сценарии,QUMO,1,1.59
Конкурент доминирует в comparison-сценарии,Galaxy,1,1.59
Конкурент доминирует в comparison-сценарии,KITFORT,1,1.59
Конкурент доминирует в comparison-сценарии,HELTI,1,1.59
Конкурент доминирует в comparison-сценарии,HanaMaru,1,1.59
Конкурент доминирует в comparison-сценарии,KIOSHI,1,1.59
Конкурент доминирует в comparison-сценарии,Goo.N,1,1.59
Конкурент доминирует в comparison-сценарии,Рексона,1,1.59
Конкурент доминирует в comparison-сценарии,Zeitun,1,1.59
Конкурент доминирует в comparison-сценарии,Mepsi,1,1.59
Конкурент доминирует в comparison-сценарии,бренды,1,1.59
Конкурент доминирует в comparison-сценарии,подгузников,1,1.59
Конкурент доминирует в comparison-сценарии,L'Occitane,1,1.59
Конкурент доминирует в comparison-сценарии,Biotherm,1,1.59
Конкурент доминирует в comparison-сценарии,URIAGE,1,1.59
Конкурент доминирует в comparison-сценарии,LIBREDERM,1,1.59
Конкурент доминирует в comparison-сценарии,PHYTORELAX,1,1.59
Конкурент доминирует в comparison-сценарии,Ля,1,1.59
Конкурент доминирует в comparison-сценарии,рош,1,1.59
Конкурент доминирует в comparison-сценарии,позе,1,1.59
Конкурент доминирует в comparison-сценарии,B.Well,1,1.59
Конкурент доминирует в comparison-сценарии,WaterPik,1,1.59
Конкурент доминирует в comparison-сценарии,Aquadent,1,1.59
Конкурент доминирует в comparison-сценарии,Librederm,1,1.59
Конкурент доминирует в comparison-сценарии,Dove,1,1.59
Конкурент доминирует в comparison-сценарии,TerezaMed,1,1.59
Конкурент доминирует в comparison-сценарии,TENA,1,1.59
Конкурент доминирует в comparison-сценарии,Flamingo,1,1.59
Конкурент доминирует в comparison-сценарии,Naty,1,1.59
Конкурент доминирует в comparison-сценарии,TAYO,1,1.59
Конкурент доминирует в comparison-сценарии,Pants,1,1.59
Конкурент доминирует в comparison-сценарии,Girl,1,1.59
Конкурент доминирует в comparison-сценарии,Bella,1,1.59
Конкурент доминирует в comparison-сценарии,Baby,1,1.59
Конкурент доминирует в comparison-сценарии,Happy,1,1.59
Конкурент доминирует в проблемном сценарии,Huggies,5,7.81
Конкурент доминирует в проблемном сценарии,Общие,4,6.25
Конкурент доминирует в проблемном сценарии,рекомендации,4,6.25
Конкурент доминирует в проблемном сценарии,Merries,3,4.69
Конкурент доминирует в проблемном сценарии,конкуренты,2,3.12
Конкурент доминирует в проблемном сценарии,Нет,2,3.12
Конкурент доминирует в проблемном сценарии,бренда,2,3.12
Конкурент доминирует в проблемном сценарии,Joonies,2,3.12
Конкурент доминирует в проблемном сценарии,YokoSun,2,3.12
Конкурент доминирует в проблемном сценарии,Faberlic,1,1.56
Конкурент доминирует в проблемном сценарии,Tena,1,1.56
Конкурент доминирует в проблемном сценарии,Доктор,1,1.56
Конкурент доминирует в проблемном сценарии,Слон,1,1.56
Конкурент доминирует в проблемном сценарии,Royal,1,1.56
Конкурент доминирует в проблемном сценарии,Canin,1,1.56
Конкурент доминирует в проблемном сценарии,репейное,1,1.56
Конкурент доминирует в проблемном сценарии,масло,1,1.56
Конкурент доминирует в проблемном сценарии,Offspring,1,1.56
Конкурент доминирует в проблемном сценарии,Premium,1,1.56
Конкурент доминирует в проблемном сценарии,Bella,1,1.56
Конкурент доминирует в проблемном сценарии,Baby,1,1.56
Конкурент доминирует в проблемном сценарии,Happy,1,1.56
Конкурент доминирует в проблемном сценарии,Momi,1,1.56
Конкурент доминирует в проблемном сценарии,Lovular,1,1.56
Конкурент доминирует в проблемном сценарии,Junion,1,1.56
Конкурент доминирует в проблемном сценарии,Supergreen,1,1.56
Конкурент доминирует в проблемном сценарии,HIYA,1,1.56
Конкурент доминирует в проблемном сценарии,Лесной,1,1.56
Конкурент доминирует в проблемном сценарии,бальзам,1,1.56
Конкурент доминирует в проблемном сценарии,Biomed,1,1.56
Конкурент доминирует в проблемном сценарии,Sensodyne,1,1.56
Конкурент доминирует в проблемном сценарии,R.O.C.S.,1,1.56
Конкурент доминирует в проблемном сценарии,Sangi,1,1.56
Конкурент доминирует в проблемном сценарии,Чистая,1,1.56
Конкурент доминирует в проблемном сценарии,Линия,1,1.56
Конкурент доминирует в проблемном сценарии,Рексона,1,1.56
Конкурент доминирует в проблемном сценарии,Men,1,1.56
Конкурент доминирует в проблемном сценарии,SYNERGETIC,1,1.56
Конкурент доминирует в проблемном сценарии,NaturalSupp,1,1.56
Конкурент доминирует в проблемном сценарии,СВОБОДА,1,1.56
Конкурент доминирует в проблемном сценарии,Natural,1,1.56
Конкурент доминирует в проблемном сценарии,FRUCTIS,1,1.56
Конкурент доминирует в проблемном сценарии,(без,1,1.56
Конкурент доминирует в проблемном сценарии,брендов),1,1.56
Конкурент доминирует в проблемном сценарии,Vichy,1,1.56
Конкурент доминирует в проблемном сценарии,Moony,1,1.56
Конкурент доминирует в проблемном сценарии,TokiBaby,1,1.56
